path	category	status	evidence_role	primary_code_or_data	notes
di-walker-lesson-summary.tex	theory-model;functional;itpac	needs-update	didactic narrative	see referenced results	Best existing lecture structure; action table predates corrected indexing.
di-walker-lesson-summary.pdf	theory-model;functional;itpac	needs-update	didactic PDF	see referenced results	Regenerate after correcting numerical table and push-pull status.
di-walker-current-reference-report.tex	theory-model;functional;itpac;validation	needs-update	repository reference	robust_walker/; experiments/21_action_directed_information.py	Comprehensive but contains legacy Own-Kernel and pre-correction tables.
di-walker-current-reference-report.pdf	theory-model;functional;itpac;validation	needs-update	repository reference	see TeX source	Do not use as final numerical reference until updated.
di-walker-integrated-study-report.tex	theory-model;functional;itpac;exploratory	historical synthesis	multiple result CSVs	Useful integrated draft; protocols are mixed across versions.
di-walker-integrated-study-report.pdf	theory-model;functional;itpac;exploratory	historical synthesis	see TeX source	Retain in history.
di-walker-detailed-simulation-theory-report.tex	theory-model;validation;exploratory	historical development	multiple experiment scripts	Documents estimator development and abandoned alternatives.
di-walker-detailed-simulation-theory-report.pdf	theory-model;validation;exploratory	historical development	see TeX source	Retain for research tracking.
di-estimation-prediction-method.tex	theory-model;itpac	current method reference	experiments/21_action_directed_information.py	MLP architecture, training, calibration, and timing.
di-estimation-prediction-method.pdf	theory-model;itpac	current method reference	see TeX source	Use for estimator appendix material.
adversarial-push-pull-experiment.tex	functional;exploratory	current secondary result	experiments/26_adversarial_push_pull.py	Functional push-pull results and matched counterfactual analysis.
adversarial-push-pull-experiment.pdf	functional;exploratory	current secondary result	see TeX source	Use as optional robustness extension; not primary DI evidence.
predictor-only-itpac-rate-report.tex	itpac;exploratory	diagnostic	experiments/25_predictor_quantization_itpac.py	Quantization only in predictor input; not closed-loop capacity.
predictor-only-itpac-rate-report.pdf	itpac;exploratory	diagnostic	see TeX source	Retain as rate/IT-PAC teaching material.
minimal-rate-jacobian-itpac-report.tex	theory-model;exploratory	diagnostic	experiments/24_minimal_rate_jacobian_poc.py	Jacobian expansion and nominal rate comparison.
minimal-rate-jacobian-itpac-report.pdf	theory-model;exploratory	diagnostic	see TeX source	Does not establish a critical data-rate threshold.
quantized-rate-distortion-report.tex	exploratory	diagnostic	experiments/11_quantized_message_sweep.py	Frozen-policy quantized-message rate-distortion sweep.
quantized-rate-distortion-report.pdf	exploratory	diagnostic	see TeX source	Policies were not retrained per bit rate.
simulation-and-estimation-state.tex	theory-model;validation	historical snapshot	robust_walker/; experiments/14_amortized_plant_model.py	State of knowledge before later MLP/action work.
simulation-and-estimation-state.pdf	theory-model;validation	historical snapshot	see TeX source	Retain as milestone.
global-information-rate-discussion.tex	theory-model;exploratory	theory draft	none	Functional information and rate discussion; not final.
global-information-rate-discussion.pdf	theory-model;exploratory	theory draft	see TeX source	Retain as theory history.
elliit-theory-integration.md	theory-model	historical theory integration	reports in Talks/ELLIIT	Internal theory synthesis; not public evidence report.
option-one-theory-measurements.tex	theory-model;exploratory	diagnostic	experiments/13_theory_measurements.py	Finite-time expansion and communication-rate measurements.
option-one-theory-measurements.pdf	theory-model;exploratory	diagnostic	see TeX source	Didactic numerical measurements, not theorem proof.
action-information-functional-rate-and-adversarial-disturbance.tex	theory-model;itpac;functional	current conceptual reference	robust_walker/	Definitions of RF, LF, action gain, and adversarial disturbance.
